"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jason Witten","DAL","1","TE","4","4","0","50","0","0","0","0","100","10","12.5","12.5","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","9","0.2","2.25"
"Larry Fitzgerald","ARZ","1","WR","5","5","0","47","0","0","0","0","100","2","9.4","9.4","7.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.7","0.18","1.94"
"Frank Gore","BUF","1","RB","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","17","1","109","1","0","0","6.41","4.35","5","0.29","0","","","","","","","","","0","0","10.9","0.31","0.64"
"Darren Sproles","PHI","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","4","0","0","0","4","1","0","0","0","","","","","","","","","0","0","0.4","0.06","0.4"
"Vernon Davis","WAS","1","TE","3","1","0","5","0","0","0","0","33.3","6.67","1.67","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.04","1.5"
"Marcedes Lewis","GB","1","TE","2","2","0","19","0","0","0","0","100","0.5","9.5","9.5","9","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.9","0.23","1.95"
"Delanie Walker","TEN","1","TE","2","1","0","4","0","0","0","0","50","4","2","4","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","1.4","0.07","1.4"
"Adrian Peterson","WAS","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","11","0","28","0","0","0","2.55","2","2","0.18","0","","","","","","","","","0","0","2.8","0.14","0.25"
"Ted Ginn Jr.","NO","1","WR","4","3","0","19","0","0","0","1","75","10","4.75","6.33","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.9","0.1","1.63"
"Greg Olsen","CAR","1","TE","4","2","0","5","0","0","0","0","50","7.25","1.25","2.5","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.5","0.04","1.25"
"Matthew Slater","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"LeSean McCoy","KC","1","RB","3","2","0","33","0","0","0","0","66.7","4.67","11","16.5","19.5","","","","","","","","","","","","11","0","56","0","1","0","5.09","3.27","1","0.09","0","","","","","","","","","0","0","16.9","0.53","1.3"
"Jared Cook","NO","1","TE","5","3","0","21","0","0","0","0","60","5.6","4.2","7","0.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.1","0.13","1.7"
"Julian Edelman","NE","1","WR","7","4","0","30","0","0","0","1","57.1","7.86","4.29","7.5","2.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","7","0.12","1.75"
"Emmanuel Sanders","DEN","1","WR","9","5","0","104","1","0","0","0","55.6","17","11.56","20.8","8.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.4","0.35","3.08"
"Andre Roberts","BUF","1","WR","1","1","0","6","0","0","0","0","100","4","6","6","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.2","1.6"
