"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Clive Walford","MIA","1","TE","4","2","0","34","0","0","0","2","50","9.75","8.5","17","9.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.4","0.28","2.7"
"Maxx Williams","ARZ","1","TE","1","1","0","4","0","0","0","0","100","-1","4","4","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.4","0.03","1.4"
"Scott Simonson","NYG","1","TE","1","1","0","1","0","0","0","0","100","1","1","1","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.1","0.05","1.1"
"Logan Thomas","DET","1","TE","1","0","0","0","0","0","0","1","0","4","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Demetrius Harris","CLV","1","TE","2","1","0","13","0","0","0","1","50","6.5","6.5","13","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.3","0.05","2.3"
"Levine Toilolo","SF","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Travis Kelce","KC","1","TE","12","11","0","142","1","0","0","0","91.7","10.58","11.83","12.91","2.09","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","25.2","0.41","2.29"
"Zach Ertz","PHI","1","TE","10","5","0","61","0","1","0","1","50","10.9","6.1","12.2","5.8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.1","0.25","3.42"
"Tyler Eifert","CIN","1","TE","5","3","0","44","0","0","0","1","60","11.4","8.8","14.67","2.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.4","0.21","2.47"
"Derek Carrier","OAK","1","TE","2","1","0","5","0","0","0","0","50","15.5","2.5","5","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.07","1.5"
"Virgil Green","LAC","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Lee Smith","BUF","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Luke Stocker","ATL","1","TE","1","1","0","9","0","0","0","0","100","1","9","9","8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.9","0.09","1.9"
"Lance Kendricks","LAC","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kyle Rudolph","MIN","1","TE","3","3","0","48","0","0","0","0","100","8.67","16","16","7.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.8","0.22","2.6"
"Jimmy Graham","GB","1","TE","3","1","0","0","0","0","0","0","33.3","13","0","0","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1","0.04","1"
"Jared Cook","NO","1","TE","4","4","0","54","0","0","0","0","100","12","13.5","13.5","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.4","0.34","2.35"
"Marcedes Lewis","GB","1","TE","1","1","0","6","0","0","0","0","100","1","6","6","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.05","1.6"
"Benjamin Watson","NE","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jason Witten","DAL","1","TE","5","4","0","36","0","1","0","1","80","6","7.2","9","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.6","0.3","3.4"
