"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Ashton Dulin","IND","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Vyncint Smith","NYJ","1","WR","3","1","0","20","0","0","0","1","33.3","13.33","6.67","20","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3","0.18","3"
"A.J. Brown","TEN","1","WR","7","4","0","81","0","0","0","1","57.1","14.71","11.57","20.25","6.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.1","0.24","3.02"
"Deebo Samuel","SF","1","WR","7","4","0","40","0","0","0","2","57.1","11","5.71","10","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8","0.18","2"
"D.J. Moore","CAR","1","WR","9","7","0","101","1","0","0","0","77.8","15","11.22","14.43","5.29","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.1","0.26","2.44"
"Robert Foster","BUF","1","WR","1","0","0","0","0","0","0","0","0","41","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Miles Boykin","BLT","1","WR","1","0","0","0","0","0","0","1","0","7","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","7","5","0","56","0","1","0","0","71.4","11.29","8","11.2","3.4","","","","","","","","","","","","1","0","7","0","0","0","7","3","0","0","0","","","","","","","","","0","0","17.3","0.38","2.88"
"Antonio Callaway","CLV","1","WR","5","4","1","56","0","0","0","0","80","6.6","11.2","14","10","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.6","0.27","2.4"
"Malik Turner","SEA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"D.K. Metcalf","SEA","1","WR","9","6","1","123","1","1","1","0","66.7","11.78","13.67","20.5","8.67","","","","","","","","","","","","1","0","7","0","0","0","7","3","1","1","0","","","","","","","","","1","1","25","0.36","3.57"
"Jakobi Meyers","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Andy Isabella","ARZ","1","WR","1","1","1","88","0","1","1","0","100","22","88","88","66","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.8","1.32","15.8"
"Greg Dortch","CAR","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Javon Wims","CHI","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"KeeSean Johnson","ARZ","1","WR","3","2","0","22","0","1","0","1","66.7","11.33","7.33","11","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.2","0.41","5.1"
"Preston Williams","MIA","1","WR","9","5","0","72","0","2","0","0","55.6","15.11","8","14.4","2.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","24.2","0.47","4.84"
"Juwann Winfree","DEN","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Diontae Johnson","PIT","1","WR","1","1","0","3","0","0","0","0","100","1","3","3","2","","","","","","","","","","","","1","0","2","0","0","0","2","5","1","1","0","","","","","","","","","0","0","1.5","0.04","0.75"
"KhaDarel Hodge","CLV","1","WR","1","1","0","10","0","0","0","0","100","7","10","10","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.25","2"
"Michael Gallup","DAL","1","WR","7","2","0","33","0","1","0","0","28.6","18.57","4.71","16.5","8.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.3","0.18","5.65"
"Darius Slayton","NYG","1","WR","3","1","0","6","0","0","0","1","33.3","15.33","2","6","10","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.02","1.6"
"Zach Pascal","IND","1","WR","5","5","0","76","0","1","0","0","100","16","15.2","15.2","0.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.6","0.28","3.72"
"Kenny Golladay","DET","1","WR","7","4","1","132","1","1","1","0","57.1","21.86","18.86","33","14.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.2","0.41","5.8"
"Curtis Samuel","CAR","1","WR","6","3","0","64","0","1","0","0","50","23.17","10.67","21.33","1.67","","","","","","","","","","","","1","0","10","0","0","0","10","3","0","0","0","","","","","","","","","0","0","16.4","0.31","4.1"
"Marvin Hall","DET","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","7","0","0","0","7","3","0","0","0","","","","","","","","","0","0","0.7","0.04","0.7"
"Johnny Holton","PIT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Robby Anderson","NYJ","1","WR","4","2","0","33","0","0","0","0","50","19.5","8.25","16.5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.3","0.08","2.65"
"Jakeem Grant","MIA","1","WR","5","3","0","33","0","0","0","0","60","13.4","6.6","11","8.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.3","0.45","2.1"
"Rashard Higgins","CLV","1","WR","1","0","0","0","0","0","0","0","0","5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Demarcus Robinson","KC","1","WR","2","1","0","5","0","0","0","0","50","5","2.5","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.06","1.5"
"Tyrell Williams","OAK","1","WR","4","3","0","48","0","0","0","0","75","14.5","12","16","1.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.8","0.14","2.6"
"Chris Conley","JAX","1","WR","7","2","0","32","0","0","0","1","28.6","15.14","4.57","16","0.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.2","0.09","2.6"
"Phillip Dorsett","NE","1","WR","5","2","0","13","0","0","0","0","40","10.6","2.6","6.5","0.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.3","0.05","1.65"
"Seth Roberts","BLT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"John Brown","BUF","1","WR","7","4","0","76","0","0","0","0","57.1","18.29","10.86","19","2.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.6","0.21","2.9"
"Allen Robinson II","CHI","1","WR","5","1","0","6","0","0","0","0","20","17.6","1.2","6","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.04","1.6"
"Davante Adams","GB","1","WR","11","7","0","41","0","0","0","1","63.6","10.55","3.73","5.86","0.43","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.1","0.26","1.59"
"Mike Evans","TB","1","WR","16","12","0","180","1","1","0","0","75","16.13","11.25","15","3.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","36","0.55","3"
"Adam Thielen","MIN","1","WR","1","0","0","0","0","0","0","1","0","5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Cordarrelle Patterson","CHI","1","WR","1","1","0","5","0","0","0","0","100","5","5","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.19","1.5"
