"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Kenyan Drake","MIA","1","RB","4","3","0","37","0","0","0","1","75","1.75","9.25","12.33","10","","","","","","","","","","","","6","0","21","0","0","0","3.5","1.67","0","0","0","","","","","","","","","0","0","8.8","0.3","0.98"
"Derrick Henry","TEN","1","RB","1","1","0","18","0","0","0","0","100","-3","18","18","21","","","","","","","","","","","","22","0","90","0","1","0","4.09","3.41","3","0.14","0","","","","","","","","","0","0","17.8","0.39","0.77"
"Ezekiel Elliott","DAL","1","RB","7","6","0","36","0","0","0","1","85.7","-0.57","5.14","6","6.83","","","","","","","","","","","","22","0","111","1","1","0","5.05","4.18","10","0.45","0","","","","","","","","","0","0","26.7","0.49","0.95"
"Raheem Mostert","SF","0","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Zach Zenner","NO","1","RB","2","1","0","6","0","0","0","1","50","2.5","3","6","5","","","","","","","","","","","","1","0","1","0","0","0","1","3","0","0","0","","","","","","","","","0","0","1.7","0.24","0.85"
"Michael Burton","WAS","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Mike Davis","CHI","0","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Javorius Allen","NYG","0","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Ty Montgomery","NYJ","1","RB","1","0","0","0","0","0","0","0","0","3","0","0","0","","","","","","","","","","","","2","0","9","0","0","0","4.5","4","0","0","0","","","","","","","","","0","0","0.9","0.13","0.45"
"David Johnson","ARZ","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","2","0","0","0","2","4","0","0","0","","","","","","","","","0","0","0.2","0.07","0.2"
"Duke Johnson Jr.","HST","1","RB","5","2","0","22","0","0","0","0","40","2.2","4.4","11","11","","","","","","","","","","","","7","0","34","0","0","0","4.86","2.43","2","0.29","0","","","","","","","","","0","0","7.6","0.2","0.84"
"Tevin Coleman","SF","1","RB","2","2","0","-1","0","0","0","0","100","-4.5","-0.5","-0.5","4","","","","","","","","","","","","20","0","62","0","0","0","3.1","2.7","4","0.2","0","","","","","","","","","0","0","8.1","0.19","0.37"
"Ameer Abdullah","MIN","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Melvin Gordon III","LAC","1","RB","3","2","0","-3","0","1","0","0","66.7","1.67","-1","-1.5","0","","","","","","","","","","","","16","0","32","0","0","0","2","1.75","0","0","2","","","","","","","","","0","0","10.9","0.33","0.61"
