"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Gunner Olszewski","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Damion Willis","CIN","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Deebo Samuel","SF","1","WR","4","3","0","44","0","0","0","1","75","19.75","11","14.67","4.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.4","0.18","2.47"
"D.J. Moore","CAR","1","WR","2","1","1","52","0","1","1","1","50","15.5","26","52","34","","","","","","","","","","","","1","0","12","0","0","0","12","4","0","0","0","","","","","","","","","0","0","13.4","0.3","6.7"
"Terry McLaurin","WAS","1","WR","8","6","0","70","0","1","0","2","75","11.75","8.75","11.67","1.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","19","0.28","3.17"
"Miles Boykin","BLT","1","WR","1","0","0","0","0","0","0","0","0","25","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Cedrick Wilson","DAL","1","WR","1","0","0","0","0","0","0","0","0","31","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","7","5","1","87","0","0","0","0","71.4","11.29","12.43","17.4","6.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.7","0.21","2.74"
"Keelan Doss","OAK","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Allen Lazard","GB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Dante Pettis","SF","1","WR","5","4","0","20","0","1","0","0","80","5.4","4","5","1.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12","0.36","3"
"D.K. Metcalf","SEA","1","WR","5","2","1","67","0","0","0","0","40","22.8","13.4","33.5","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.7","0.12","4.35"
"Marquez Valdes-Scantling","GB","1","WR","9","6","1","99","0","1","1","0","66.7","12","11","16.5","1.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","21.9","0.47","3.65"
"Scotty Miller","TB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Russell Gage","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Preston Williams","MIA","1","WR","10","4","0","68","0","0","0","0","40","15.2","6.8","17","1.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.8","0.16","2.7"
"J.J. Arcega-Whiteside","PHI","1","WR","2","1","0","10","0","0","0","1","50","28.5","5","10","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.04","2"
"Richie James Jr.","SF","1","WR","2","2","0","22","0","0","0","0","100","11","11","11","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","4.2","0.15","2.1"
"Darius Slayton","NYG","1","WR","5","3","1","82","0","0","0","1","60","20.4","16.4","27.33","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.2","0.41","3.73"
"Chad Beebe","MIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Zach Pascal","IND","1","WR","3","2","0","53","0","1","0","0","66.7","13.33","17.67","26.5","10.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.3","0.44","6.65"
"Robert Davis","WAS","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Isaiah McKenzie","BUF","1","WR","1","1","0","9","0","0","0","0","100","-4","9","9","13","","","","","","","","","","","","3","0","10","0","0","0","3.33","2.33","0","0","0","","","","","","","","","0","0","2.9","0.15","0.72"
"Josh Reynolds","LA","1","WR","1","0","0","0","0","0","0","0","0","14","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kenny Golladay","DET","1","WR","8","2","0","17","0","0","0","0","25","17.63","2.13","8.5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.7","0.08","1.85"
"Zay Jones","BUF","1","WR","3","2","0","33","0","0","0","0","66.7","20.33","11","16.5","6.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.3","0.14","2.65"
"John Ross","CIN","1","WR","5","2","0","22","0","0","0","1","40","11.6","4.4","11","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","4.2","0.07","2.1"
"Marvin Hall","DET","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Cody Core","NYG","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Tajae Sharpe","TEN","1","WR","3","2","1","70","0","0","0","0","66.7","29.33","23.33","35","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9","0.23","4.5"
"Demarcus Robinson","KC","1","WR","3","3","0","43","0","1","0","0","100","17","14.33","14.33","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.3","0.21","4.43"
"Michael Thomas","NO","1","WR","7","5","0","54","0","1","0","0","71.4","8","7.71","10.8","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.4","0.33","3.28"
"Tyrell Williams","OAK","1","WR","3","3","0","29","0","1","0","0","100","6.67","9.67","9.67","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.9","0.21","3.97"
"Darius Jennings","TEN","1","WR","2","0","0","0","0","0","0","0","0","21","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Damiere Byrd","ARZ","1","WR","4","2","0","9","0","0","0","0","50","11.5","2.25","4.5","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.9","0.04","1.45"
"Jamison Crowder","NYJ","1","WR","5","2","0","25","0","0","0","0","40","14.4","5","12.5","0.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.5","0.1","2.25"
"Chris Conley","JAX","1","WR","3","2","0","30","0","0","0","0","66.7","17","10","15","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5","0.13","2.5"
"Devin Smith","DAL","1","WR","4","2","0","39","0","0","0","0","50","24.5","9.75","19.5","7.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.9","0.09","2.95"
"Amari Cooper","DAL","1","WR","7","6","0","88","0","2","0","1","85.7","13.29","12.57","14.67","2.83","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","26.8","0.44","4.47"
"Seth Roberts","BLT","1","WR","2","2","0","37","0","0","0","0","100","16.5","18.5","18.5","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.7","0.11","2.85"
"Bennie Fowler","NYG","1","WR","2","1","0","5","0","0","0","0","50","13","2.5","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.04","1.5"
"De'Anthony Thomas","KC","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"John Brown","BUF","1","WR","6","4","0","51","0","0","0","1","66.7","11.67","8.5","12.75","0","","","","","","","","","","","","1","0","4","0","0","0","4","1","0","0","0","","","","","","","","","0","0","9.5","0.14","1.9"
"Allen Robinson II","CHI","1","WR","7","6","0","60","0","0","0","0","85.7","7.29","8.57","10","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12","0.21","2"
"Brandin Cooks","LA","1","WR","12","8","0","112","1","0","0","1","66.7","13.25","9.33","14","2.88","","","","","","","","","","","","1","0","8","0","0","0","8","3","0","0","0","","","","","","","","","0","0","20","0.35","2.22"
"Odell Beckham Jr.","CLV","1","WR","8","6","0","56","0","0","0","0","75","7","7","9.33","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.6","0.17","1.93"
"Adam Thielen","MIN","1","WR","4","3","0","55","0","1","0","0","75","15","13.75","18.33","5.67","","","","","","","","","","","","1","0","1","0","1","0","1","3","1","1","0","","","","","","","","","0","0","20.6","0.38","5.15"
"Marquise Goodwin","SF","1","WR","2","2","0","41","0","0","0","0","100","18","20.5","20.5","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.1","0.12","3.05"
"DeAndre Hopkins","HST","1","WR","7","6","0","67","0","0","0","0","85.7","6","9.57","11.17","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.7","0.22","2.12"
"Chris Hogan","CAR","1","WR","2","1","0","6","0","0","0","0","50","14.5","3","6","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.6","0.09","1.6"
