"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Gunner Olszewski","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Damion Willis","CIN","1","WR","5","3","0","30","0","0","0","0","60","10.4","6","10","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6","0.09","2"
"Deebo Samuel","SF","1","WR","3","3","0","17","0","0","0","0","100","0","5.67","5.67","5.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","1","1","4.7","0.08","1.57"
"D.J. Moore","CAR","1","WR","10","7","0","76","0","0","0","0","70","10.4","7.6","10.86","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","14.6","0.24","2.09"
"Robert Foster","BUF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Terry McLaurin","WAS","1","WR","7","5","1","125","1","1","1","0","71.4","19.71","17.86","25","7.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","23.5","0.4","4.7"
"Miles Boykin","BLT","1","WR","1","1","0","5","0","1","0","0","100","13","5","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.5","0.42","7.5"
"Damion Ratley","CLV","1","WR","2","2","0","17","0","0","0","0","100","7.5","8.5","8.5","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.7","0.11","1.85"
"Courtland Sutton","DEN","1","WR","8","7","0","120","1","0","0","0","87.5","11.5","15","17.14","6.43","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","19","0.35","2.71"
"Malik Turner","SEA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kelvin Harmon","WAS","1","WR","2","2","0","31","0","0","0","0","100","13","15.5","15.5","2.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.1","0.39","2.55"
"Olabisi Johnson","MIN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"D.K. Metcalf","SEA","1","WR","6","4","1","89","0","0","0","0","66.7","17.67","14.83","22.25","4.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.9","0.32","3.23"
"Marquez Valdes-Scantling","GB","1","WR","5","4","1","52","0","0","0","0","80","10.6","10.4","13","1","","","","","","","","","","","","1","0","0","0","0","0","0","3","0","0","0","","","","","","","","","0","0","9.2","0.22","1.84"
"Russell Gage","ATL","1","WR","2","1","0","13","0","0","0","0","50","18.5","6.5","13","0","","","","","","","","","","","","1","0","-1","0","0","0","-1","1","2","2","0","","","","","","","","","0","0","2.2","0.17","1.1"
"Byron Pringle","KC","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Preston Williams","MIA","1","WR","5","3","0","24","0","1","0","0","60","16.4","4.8","8","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.4","0.57","3.8"
"Michael Gallup","DAL","1","WR","7","7","1","158","1","0","0","0","100","11.57","22.57","22.57","11","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","22.8","0.43","3.26"
"Tim Patrick","DEN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Bobo Wilson","TB","1","WR","1","0","0","0","0","0","0","0","0","13","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Kenny Golladay","DET","1","WR","9","4","0","42","0","1","0","1","44.4","16.67","4.67","10.5","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.2","0.17","3.55"
"Mike Williams","LAC","1","WR","2","2","0","29","0","0","0","0","100","12.5","14.5","14.5","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.9","0.12","2.45"
"Corey Davis","TEN","1","WR","3","0","0","0","0","0","0","0","0","14.33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Johnny Holton","PIT","1","WR","2","0","0","0","0","0","0","0","0","23.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Robby Anderson","NYJ","1","WR","7","3","0","23","0","0","0","0","42.9","18.29","3.29","7.67","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.3","0.08","1.77"
"Trevor Davis","GB","1","WR","1","1","0","28","0","0","0","0","100","17","28","28","11","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.8","0.22","3.8"
"Tajae Sharpe","TEN","1","WR","2","0","0","0","0","0","0","0","0","13.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Demarcus Robinson","KC","1","WR","2","1","0","0","0","0","0","0","50","3.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1","0.02","1"
"Michael Thomas","NO","1","WR","13","10","0","123","1","0","0","1","76.9","9.62","9.46","12.3","2.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","22.3","0.38","2.23"
"Tyrell Williams","OAK","1","WR","7","6","1","105","1","1","0","0","85.7","18","15","17.5","4.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","22.5","0.43","3.75"
"Darius Jennings","TEN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Damiere Byrd","ARZ","1","WR","7","4","0","42","0","0","0","0","57.1","10.14","6","10.5","2.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.2","0.11","2.05"
"J.J. Nelson","OAK","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Justin Hardy","ATL","1","WR","5","4","0","41","0","0","0","0","80","5.8","8.2","10.25","4.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","8.1","0.39","2.02"
"Chris Conley","JAX","1","WR","7","6","0","97","0","1","0","0","85.7","13.14","13.86","16.17","4.83","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","21.7","0.49","3.62"
"Devin Funchess","IND","1","WR","5","3","0","32","0","0","0","0","60","11.2","6.4","10.67","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.2","0.17","2.07"
"Breshad Perriman","TB","1","WR","4","2","0","10","0","0","0","0","50","16.75","2.5","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3","0.07","1.5"
"DeVante Parker","MIA","1","WR","7","3","1","75","0","0","0","0","42.9","23.57","10.71","25","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.5","0.28","3.5"
"Seth Roberts","BLT","1","WR","1","1","0","10","0","0","0","0","100","4","10","10","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.04","2"
"Donte Moncrief","PIT","1","WR","10","3","0","7","0","0","0","1","30","9.9","0.7","2.33","1.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.7","0.06","1.23"
"Cody Latimer","NYG","1","WR","7","3","1","74","0","0","0","0","42.9","21.29","10.57","24.67","5.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.4","0.17","3.47"
"Marqise Lee","JAX","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Brandin Cooks","LA","1","WR","4","2","0","39","0","0","0","0","50","19.5","9.75","19.5","6.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.9","0.08","2.95"
"Odell Beckham Jr.","CLV","1","WR","11","7","0","71","0","0","0","0","63.6","10.36","6.45","10.14","2.43","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","14.1","0.2","2.01"
"Jaron Brown","SEA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"DeAndre Hopkins","HST","1","WR","13","8","0","111","1","2","0","3","61.5","13.15","8.54","13.88","3.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","31.1","0.49","3.89"
"Josh Gordon","NE","1","WR","3","3","1","73","0","1","0","0","100","16.33","24.33","24.33","8","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.3","0.3","5.43"
