"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Ashton Dulin","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Jason Moore","LAC","0","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","",""
"Vyncint Smith","NYJ","1","WR","3","2","0","10","0","0","0","0","66.7","15.67","3.33","5","0.5","","","","","","","","","","","","1","0","13","0","0","0","13","6","1","1","0","","","","","","","","","0","0","4.3","0.17","1.43"
"Brandon Zylstra","CAR","1","WR","1","0","0","0","0","0","0","0","0","19","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Keelan Cole","JAX","1","WR","2","2","0","12","0","1","0","0","100","5.5","6","6","3.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.2","0.37","4.6"
"A.J. Brown","TEN","1","WR","3","2","0","11","0","1","0","0","66.7","11","3.67","5.5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.1","0.25","4.55"
"Deebo Samuel","SF","1","WR","3","3","0","19","0","0","0","0","100","0.67","6.33","6.33","5.67","","","","","","","","","","","","2","0","29","0","1","0","14.5","0","0","0","0","","","","","","","","","0","0","13.8","0.31","2.76"
"D.J. Moore","CAR","1","WR","8","5","0","38","0","0","0","0","62.5","14.75","4.75","7.6","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.8","0.14","1.76"
"Robert Foster","BUF","1","WR","1","0","0","0","0","0","0","0","0","55","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Terry McLaurin","WAS","1","WR","6","4","0","39","0","0","0","0","66.7","8.17","6.5","9.75","2.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.9","0.2","1.98"
"Auden Tate","CIN","1","WR","13","5","0","65","0","0","0","0","38.5","14.31","5","13","3.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.5","0.15","2.3"
"Courtland Sutton","DEN","1","WR","6","3","0","72","0","0","0","1","50","15.67","12","24","9.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","10.2","0.15","3.4"
"Dante Pettis","SF","1","WR","3","1","0","5","0","0","0","0","33.3","6","1.67","5","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.07","1.5"
