"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Spencer Ware","KC","1","RB","3","2","0","22","0","0","0","0","66.7","1.67","7.33","11","4.5","","","","","","","","","","","","5","0","14","0","0","0","2.8","1.8","1","0.2","0","","","","","","","","","0","0","5.6","0.23","0.8"
"Rex Burkhead","NE","1","RB","4","4","0","77","0","0","0","0","100","1.75","19.25","19.25","17.5","","","","","","","","","","","","5","0","20","0","1","0","4","2.4","2","0.4","1","","","","","","","","","0","0","19.7","1.04","2.19"
"Kenjon Barner","ATL","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Latavius Murray","NO","1","RB","3","2","0","11","0","0","0","1","66.7","1.67","3.67","5.5","4","","","","","","","","","","","","7","0","14","0","0","0","2","1.29","0","0","0","","","","","","","","","0","0","4.5","0.18","0.5"
"Chris Thompson","WAS","1","RB","4","4","0","18","0","0","0","0","100","-1","4.5","4.5","5.5","","","","","","","","","","","","8","0","34","0","0","0","4.25","3.25","2","0.25","0","","","","","","","","","0","0","9.2","0.25","0.77"
"Le'Veon Bell","NYJ","1","RB","4","4","0","21","0","0","0","0","100","-0.75","5.25","5.25","6","","","","","","","","","","","","25","0","72","0","0","0","2.88","2.36","3","0.12","0","","","","","","","","","0","0","13.3","0.24","0.46"
"Giovani Bernard","CIN","1","RB","3","2","0","12","0","0","0","0","66.7","4","4","6","1.5","","","","","","","","","","","","2","0","3","0","0","0","1.5","1","0","0","0","","","","","","","","","0","0","3.5","0.07","0.88"
"Brandon Bolden","NE","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Dion Lewis","TEN","1","RB","1","1","0","19","0","0","0","0","100","-2","19","19","21","","","","","","","","","","","","15","0","68","0","0","0","4.53","3.13","4","0.27","0","","","","","","","","","0","0","9.7","0.23","0.61"
"Bilal Powell","NYJ","1","RB","2","1","0","5","0","0","0","0","50","1","2.5","5","4","","","","","","","","","","","","1","0","3","0","0","0","3","2","0","0","0","","","","","","","","","0","0","1.8","0.45","0.9"
"Mark Ingram II","BLT","1","RB","2","2","0","36","0","1","0","0","100","10.5","18","18","7.5","","","","","","","","","","","","8","0","55","0","0","0","6.88","5","2","0.25","0","","","","","","","","","0","0","17.1","0.57","1.71"
"Adrian Peterson","WAS","1","RB","2","2","0","19","0","0","0","0","100","-1","9.5","9.5","10.5","","","","","","","","","","","","15","0","36","0","1","0","2.4","3.2","5","0.33","0","","","","","","","","","0","0","13.5","0.41","0.79"
"Frank Gore","BUF","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Patrick Ricard","BLT","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Alec Ingold","OAK","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Alex Armah","CAR","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"C.J. Ham","MIN","1","RB","3","2","0","12","0","0","0","0","66.7","3","4","6","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.2","0.19","1.6"
"Elandon Roberts","NE","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Derek Watt","LAC","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Danny Vitale","GB","1","RB","1","0","0","0","0","0","0","0","0","18","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Keith Smith","ATL","1","RB","1","1","0","13","0","0","0","0","100","0","13","13","13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.3","0.13","2.3"
