"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Deonte Harris","NO","1","WR","1","1","0","13","0","0","0","0","100","-3","13","13","16","","","","","","","","","","","","1","0","8","0","0","0","8","3","0","0","0","","","","","","","","","0","0","3.1","0.44","1.55"
"Brandon Zylstra","CAR","1","WR","2","1","0","7","0","0","0","0","50","15.5","3.5","7","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.7","0.85","1.7"
"A.J. Brown","TEN","1","WR","7","5","1","153","1","2","1","0","71.4","16.71","21.86","30.6","17","","","","","","","","","","","","1","0","13","0","0","0","13","4","0","0","0","","","","","","","","","0","0","33.6","0.66","5.6"
"Deebo Samuel","SF","1","WR","7","5","0","76","0","0","0","2","71.4","5.43","10.86","15.2","7.6","","","","","","","","","","","","2","0","33","0","0","0","16.5","4","0","0","0","","","","","","","","","0","0","15.9","0.32","2.27"
"D.J. Moore","CAR","1","WR","6","4","0","81","0","0","0","0","66.7","13.83","13.5","20.25","6.25","","","","","","","","","","","","1","0","0","0","0","0","0","3","0","0","0","","","","","","","","","0","0","12.1","0.17","2.42"
"Calvin Ridley","ATL","1","WR","5","5","0","76","0","1","0","0","100","13.2","15.2","15.2","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","18.6","0.52","3.72"
"Robert Foster","BUF","1","WR","4","0","0","0","0","0","0","0","0","31","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Terry McLaurin","WAS","1","WR","6","4","0","57","0","1","0","0","66.7","15.83","9.5","14.25","3.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.7","0.26","3.92"
"Miles Boykin","BLT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Damion Ratley","CLV","1","WR","1","0","0","0","0","0","0","0","0","4","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Courtland Sutton","DEN","1","WR","7","5","0","34","0","0","0","0","71.4","6.43","4.86","6.8","3.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.4","0.15","1.68"
"Stanley Morgan Jr.","CIN","1","WR","1","0","0","0","0","0","0","0","0","12","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Christian Blake","ATL","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"D.K. Metcalf","SEA","1","WR","6","6","0","78","0","0","0","0","100","9.83","13","13","3.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.8","0.27","2.3"
"D.J. Chark Jr.","JAX","1","WR","10","9","0","75","0","0","0","0","90","6.4","7.5","8.33","2.56","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.5","0.28","1.83"
"Andy Isabella","ARZ","1","WR","1","1","0","5","0","0","0","0","100","4","5","5","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.13","1.5"
"Olamide Zaccheaus","ATL","1","WR","2","1","1","93","0","1","1","0","50","26.5","46.5","93","52","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.3","0.78","16.3"
"J.J. Arcega-Whiteside","PHI","1","WR","2","2","0","29","0","0","0","0","100","13","14.5","14.5","1.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.9","0.06","2.45"
"Diontae Johnson","PIT","1","WR","7","6","0","60","0","1","0","0","85.7","6.43","8.57","10","3.83","","","","","","","","","","","","1","0","16","0","0","0","16","1","0","0","0","","","","","","","","","0","0","19.6","0.48","2.8"
"Richie James Jr.","SF","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","0","-1","0","0","0","-1","1","0","0","0","","","","","","","","","0","0","-0.1","-0.01","-0.1"
"Darius Slayton","NYG","1","WR","7","5","2","154","1","2","1","0","71.4","16.43","22","30.8","11.4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","32.4","0.77","6.48"
"Tim Patrick","DEN","1","WR","3","2","0","50","0","0","0","0","66.7","20","16.67","25","4.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7","0.19","3.5"
"Cody Hollister","TEN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Isaiah Ford","MIA","1","WR","9","6","0","92","0","0","0","0","66.7","8.89","10.22","15.33","5.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.2","0.28","2.53"
"David Moore","SEA","1","WR","2","1","0","15","0","0","0","0","50","21","7.5","15","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.5","0.18","2.5"
"Mack Hollins","MIA","1","WR","1","0","0","0","0","0","0","0","0","33","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Josh Reynolds","LA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","3","0","29","0","0","0","9.67","1.67","0","0","0","","","","","","","","","0","0","2.9","0.06","0.97"
"Kenny Golladay","DET","1","WR","8","6","0","58","0","1","0","0","75","10.63","7.25","9.67","0.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","17.8","0.27","2.97"
"John Ross","CIN","1","WR","3","2","0","28","0","0","0","1","66.7","5.33","9.33","14","9.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","4.8","0.13","2.4"
"Johnny Holton","PIT","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Robby Anderson","NYJ","1","WR","11","7","0","116","1","1","0","0","63.6","18.18","10.55","16.57","4.71","","","","","","","","","","","","1","0","4","0","0","0","4","0","0","0","1","","","","","","","","","0","0","25","0.38","3.13"
"Michael Thomas","NO","1","WR","13","11","1","134","1","1","0","0","84.6","8.62","10.31","12.18","4.73","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","0","30.4","0.43","2.76"
"Laquon Treadwell","MIN","1","WR","2","2","0","42","0","0","0","0","100","12","21","21","9","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.2","0.36","3.1"
"Tyrell Williams","OAK","1","WR","4","3","0","35","0","0","0","0","75","12.25","8.75","11.67","2.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6.5","0.13","2.17"
"Damiere Byrd","ARZ","1","WR","1","1","0","10","0","0","0","0","100","8","10","10","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.08","2"
"Stefon Diggs","MIN","1","WR","8","6","1","92","0","0","0","0","75","16.63","11.5","15.33","2.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","15.2","0.29","2.53"
"Phillip Dorsett","NE","1","WR","3","0","0","0","0","0","0","0","0","23.67","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Breshad Perriman","TB","1","WR","6","3","0","70","0","1","0","0","50","16","11.67","23.33","7.33","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16","0.25","5.33"
"Amari Cooper","DAL","1","WR","8","6","0","83","0","1","0","0","75","13.25","10.38","13.83","0.83","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","20.3","0.36","3.38"
"Seth Roberts","BLT","1","WR","4","1","0","8","0","0","0","0","25","9.75","2","8","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.8","0.07","1.8"
"John Brown","BUF","1","WR","8","3","0","26","0","0","0","0","37.5","11.63","3.25","8.67","2.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.6","0.08","1.87"
"Allen Robinson II","CHI","1","WR","8","5","0","48","0","2","0","0","62.5","13.38","6","9.6","2.6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","21.8","0.32","4.36"
"Cody Latimer","NYG","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Davante Adams","GB","1","WR","6","4","0","41","0","0","0","1","66.7","6.5","6.83","10.25","3.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.1","0.16","2.02"
"Brandin Cooks","LA","1","WR","2","0","0","0","0","0","0","1","0","28","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Odell Beckham Jr.","CLV","1","WR","5","2","0","39","0","0","0","0","40","17.2","7.8","19.5","6","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5.9","0.13","2.95"
"Mike Evans","TB","1","WR","2","1","1","61","0","1","1","0","50","26.5","30.5","61","23","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","13.1","0.73","13.1"
"DeAndre Hopkins","HST","1","WR","12","7","1","120","1","1","1","1","58.3","16","10","17.14","6.86","","","","","","","","","","","","1","0","12","0","0","0","12","2","0","0","0","","","","","","","","","0","0","26.2","0.34","3.27"
"Tavon Austin","DAL","1","WR","2","0","0","0","0","0","0","0","0","17.5","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Mohamed Sanu","NE","1","WR","1","1","0","13","0","0","0","0","100","10","13","13","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.3","0.06","2.3"
"Alshon Jeffery","PHI","1","WR","2","0","0","0","0","0","0","0","0","21","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Emmanuel Sanders","SF","1","WR","9","7","1","157","1","1","1","0","77.8","12","17.44","22.43","7.71","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","28.7","0.47","4.1"
"Keelan Cole","JAX","1","WR","3","1","0","12","0","0","0","0","33.3","10.33","4","12","9","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.2","0.06","2.2"
"Tre'Quan Smith","NO","1","WR","4","2","0","29","0","1","0","0","50","10.75","7.25","14.5","13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","10.9","0.19","5.45"
"Russell Gage","ATL","1","WR","4","2","0","17","0","0","0","1","50","4.75","4.25","8.5","4","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","3.7","0.11","1.85"
"Mecole Hardman","KC","1","WR","1","1","1","48","0","1","1","0","100","32","48","48","16","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.8","0.84","11.8"
"Byron Pringle","KC","1","WR","1","1","0","14","0","0","0","0","100","1","14","14","13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.4","2.4","2.4"
"Kendrick Bourne","SF","1","WR","4","3","0","18","0","2","0","0","75","8.25","4.5","6","0.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","16.8","0.45","5.6"
"Greg Ward","PHI","1","WR","10","4","0","34","0","0","0","1","40","10.2","3.4","8.5","5.75","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7.4","0.1","1.85"
"Tyler Boyd","CIN","1","WR","6","5","0","75","0","0","0","0","83.3","9.83","12.5","15","5.6","","","","","","","","","","","","1","0","7","0","0","0","7","6","0","0","0","","","","","","","","","0","0","13.2","0.24","2.2"
"Jamison Crowder","NYJ","1","WR","6","3","0","30","0","0","0","1","50","10.83","5","10","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","6","0.11","2"
"Albert Wilson","MIA","1","WR","2","1","0","5","0","0","0","1","50","9.5","2.5","5","1","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","1.5","0.09","1.5"
"Cole Beasley","BUF","1","WR","7","4","0","29","0","1","0","1","57.1","5.14","4.14","7.25","3.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","12.9","0.18","3.23"
"Jarius Wright","CAR","1","WR","5","4","0","30","0","0","0","0","80","12.4","6","7.5","3.25","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","7","0.12","1.75"
"Golden Tate","NYG","1","WR","5","1","0","11","0","0","0","0","20","16.8","2.2","11","7","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2.1","0.05","2.1"
"Danny Amendola","DET","1","WR","8","5","0","34","0","0","0","2","62.5","7.25","4.25","6.8","1.2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","8.4","0.15","1.68"
"Larry Fitzgerald","ARZ","1","WR","7","3","0","20","0","0","0","0","42.9","7","2.86","6.67","5.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","5","0.09","1.67"
"Ashton Dulin","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
